Date,Open,High,Low,Close,Adj Close,Volume
2015-10-13,50.169998,50.169998,50.169998,50.169998,47.814873,0
2015-10-14,49.919998,49.919998,49.919998,49.919998,47.576611,0
2015-10-15,50.689999,50.689999,50.689999,50.689999,48.310463,0
2015-10-16,50.869999,50.869999,50.869999,50.869999,48.482010,0
2015-10-19,50.900002,50.900002,50.900002,50.900002,48.510601,0
2015-10-20,50.830002,50.830002,50.830002,50.830002,48.443886,0
2015-10-21,50.459999,50.459999,50.459999,50.459999,48.091255,0
2015-10-22,51.220001,51.220001,51.220001,51.220001,48.815582,0
2015-10-23,51.740002,51.740002,51.740002,51.740002,49.311169,0
2015-10-26,51.630001,51.630001,51.630001,51.630001,49.206333,0
2015-10-27,51.439999,51.439999,51.439999,51.439999,49.025246,0
